University,Faculty,Department,"Title, Name and Surname"
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Gelal
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ayse Aydan Ozkutuk
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Ayse Dilek Seymen
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Ozel Egitim Bolumu,Profesor Ayse Dolunay Sarica
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Profesor Ayse Gul Kokkilinc
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Tekstil Muhendisligi Bolumu,Profesor Ayse Merih Sariisik
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Nur Demiral
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Semra Hiz
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ayse Semra Kocturk
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Aysegul Ozgenc Aksoy
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Profesor Aysegul Pala
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Kamu Yonetimi Bolumu,Profesor Aysen Uysal
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aytac Gulcu
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Aytunc Erek
Dokuz Eylul Universitesi,Onkoloji Enstitusu,Klinik Onloloji Anabilim Dali,Profesor Aziz Karaoglu
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Profesor Azize Ayol
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Bilgisayar Ve Ogretim Teknolojileri Egitimi Bolumu,Profesor Bahar Baran
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Bahar Kuvaki Balkan
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Bahri Akdeniz
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Bahriye Oya Itil
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Balahan Bora
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Turkce Ve Sosyal Bilimler Egitimi Bolumu,Profesor Banu Culha Ozbas
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Profesor Banu Demirel
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Banu Dilek
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Banu Lebe
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Guzel Sanatlar Egitimi Bolumu,Profesor Banu Ozevin
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Baris Baklan
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Calisma Ekonomisi Ve Endustri Iliskileri Bolumu,Profesor Baris Secer
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Basak Baykara
Dokuz Eylul Universitesi,Izmir Devlet Konservatuvari,Muzik Bolumu,Profesor Basak Han
Dokuz Eylul Universitesi,Fen Fakultesi,Matematik Bolumu,Profesor Basak Karpuz
